timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1554504726203,8,Home Page,200,OK,Scenario 1 1-158,text,true,,5627,534,163,163,http://192.168.1.114:9095/test,7,0,4
1554504726205,6,Home Page,200,OK,Scenario 1 1-159,text,true,,5627,534,163,163,http://192.168.1.114:9095/test,6,0,2
1554504726206,8,Home Page,200,OK,Scenario 1 1-160,text,true,,5627,534,165,165,http://192.168.1.114:9095/test,8,0,4
1554504726207,7,Home Page,200,OK,Scenario 1 1-161,text,true,,5627,534,165,165,http://192.168.1.114:9095/test,7,0,3
1554504726209,6,Home Page,200,OK,Scenario 1 1-162,text,true,,5627,534,166,166,http://192.168.1.114:9095/test,6,0,2
1554504726211,5,Home Page,200,OK,Scenario 1 1-163,text,true,,5627,534,167,167,http://192.168.1.114:9095/test,5,0,3
1554504726212,7,Home Page,200,OK,Scenario 1 1-164,text,true,,5627,534,169,169,http://192.168.1.114:9095/test,7,0,2
1554504726213,7,Home Page,200,OK,Scenario 1 1-165,text,true,,5627,534,169,169,http://192.168.1.114:9095/test,7,0,2
1554504726215,5,Home Page,200,OK,Scenario 1 1-166,text,true,,5627,534,170,170,http://192.168.1.114:9095/test,5,0,2
1554504726216,7,Home Page,200,OK,Scenario 1 1-167,text,true,,5627,534,172,172,http://192.168.1.114:9095/test,7,0,3
1554504726217,8,Home Page,200,OK,Scenario 1 1-168,text,true,,5627,534,173,173,http://192.168.1.114:9095/test,8,0,3
1554504726220,6,Home Page,200,OK,Scenario 1 1-170,text,true,,5627,534,174,174,http://192.168.1.114:9095/test,6,0,3
1554504726219,8,Home Page,200,OK,Scenario 1 1-169,text,true,,5627,534,175,175,http://192.168.1.114:9095/test,8,0,4
1554504726223,7,Home Page,200,OK,Scenario 1 1-172,text,true,,5627,534,177,177,http://192.168.1.114:9095/test,7,0,3
